Hybrid Nano Particle,Temperature(K),Void Fraction,Base Fluid,Heat Transfer Coefficient(W/m^2K)
CuO+MWCNT,365,0.5,Water,890
CuO+MWCNT,392,0.5,Water,1565
CuO+MWCNT,354,0.5,Water,1611
CuO+MWCNT,464,0.5,Water,1267
CuO+MWCNT,332,0.5,Water,1684
CuO+MWCNT,394,0.5,Water,1596
CuO+MWCNT,374,0.5,Water,1668
CuO+MWCNT,487,0.5,Water,1116
CuO+MWCNT,492,0.5,Water,1856
CuO+MWCNT,383,0.5,Water,1835
CuO+MWCNT,312,0.5,Water,1293
CuO+MWCNT,367,0.5,Water,1787
CuO+MWCNT,494,0.5,Water,1657
CuO+MWCNT,486,0.5,Water,1429
CuO+MWCNT,420,0.5,Water,1910
CuO+MWCNT,441,0.5,Water,1800
CuO+MWCNT,321,0.5,Water,1813
CuO+MWCNT,368,0.5,Water,1602
CuO+MWCNT,325,0.5,Water,726
CuO+MWCNT,416,0.5,Water,1169
CuO+MWCNT,398,0.5,Water,1621
CuO+MWCNT,463,0.5,Water,1991
CuO+MWCNT,462,0.5,Water,1155
CuO+MWCNT,369,0.5,Water,1369
CuO+MWCNT,421,0.5,Water,808
CuO+MWCNT,341,0.5,Water,1581
CuO+MWCNT,363,0.5,Water,1962
CuO+MWCNT,377,0.5,Water,1806
CuO+MWCNT,344,0.5,Water,1379
CuO+MWCNT,475,0.5,Water,1830
CuO+MWCNT,405,0.5,Water,1673
CuO+MWCNT,337,0.5,Water,1560
CuO+MWCNT,311,0.5,Water,1749
CuO+MWCNT,488,0.5,Water,1423
CuO+MWCNT,447,0.5,Water,835
CuO+MWCNT,385,0.5,Water,1374
CuO+MWCNT,490,0.5,Water,961
CuO+MWCNT,335,0.5,Water,1509
CuO+MWCNT,487,0.5,Water,783
CuO+MWCNT,312,0.5,Water,1858
CuO+MWCNT,311,0.5,Water,1514
CuO+MWCNT,333,0.5,Water,805
CuO+MWCNT,306,0.5,Water,709
CuO+MWCNT,422,0.75,Water,1638
CuO+MWCNT,441,0.75,Water,1793
CuO+MWCNT,387,0.75,Water,996
CuO+MWCNT,412,0.75,Water,968
CuO+MWCNT,397,0.75,Water,1409
CuO+MWCNT,437,0.75,Water,810
CuO+MWCNT,377,0.75,Water,1552
CuO+MWCNT,333,0.75,Water,1241
CuO+MWCNT,357,0.75,Water,1492
CuO+MWCNT,392,0.75,Water,1342
CuO+MWCNT,457,0.75,Water,1601
CuO+MWCNT,499,0.75,Water,1128
CuO+MWCNT,442,0.75,Water,876
CuO+MWCNT,319,0.75,Water,1638
CuO+MWCNT,308,0.75,Water,1037
CuO+MWCNT,314,0.75,Water,1012
CuO+MWCNT,378,0.75,Water,1555
CuO+MWCNT,372,0.75,Water,1800
CuO+MWCNT,438,0.75,Water,1747
CuO+MWCNT,481,0.75,Water,1438
CuO+MWCNT,339,0.75,Water,1130
CuO+MWCNT,350,0.75,Water,1691
CuO+MWCNT,411,0.75,Water,1985
CuO+MWCNT,414,0.75,Water,822
CuO+MWCNT,326,0.75,Water,985
CuO+MWCNT,486,0.75,Water,1222
CuO+MWCNT,441,0.75,Water,1364
CuO+MWCNT,450,0.75,Water,865
CuO+MWCNT,410,0.75,Water,919
CuO+MWCNT,443,0.75,Water,862
CuO+MWCNT,489,0.75,Water,1668
CuO+MWCNT,373,0.75,Water,1942
CuO+MWCNT,331,0.75,Water,1373
CuO+MWCNT,307,0.75,Water,840
CuO+MWCNT,371,0.75,Water,1690
CuO+MWCNT,358,0.75,Water,1366
CuO+MWCNT,316,0.75,Water,1570
CuO+MWCNT,391,0.75,Water,704
CuO+MWCNT,350,0.75,Water,985
CuO+MWCNT,422,0.75,Water,1237
CuO+MWCNT,445,0.75,Water,942
CuO+MWCNT,323,0.75,Water,1880
CuO+MWCNT,373,0.75,Water,1300
CuO+MWCNT,405,0.75,Water,971
CuO+MWCNT,356,0.75,Water,1666
CuO+MWCNT,355,0.75,Water,1480
CuO+MWCNT,370,0.75,Water,1990
CuO+MWCNT,441,0.75,Water,1551
CuO+MWCNT,396,0.75,Water,702
CuO+MWCNT,404,0.75,Water,1751
CuO+MWCNT,468,1.0,Water,907
CuO+MWCNT,437,1.0,Water,1007
CuO+MWCNT,393,1.0,Water,1673
CuO+MWCNT,353,1.0,Water,861
CuO+MWCNT,460,1.0,Water,1309
CuO+MWCNT,355,1.0,Water,905
CuO+MWCNT,399,1.0,Water,1518
CuO+MWCNT,450,1.0,Water,1449
CuO+MWCNT,318,1.0,Water,1054
CuO+MWCNT,339,1.0,Water,892
CuO+MWCNT,429,1.0,Water,1465
CuO+MWCNT,361,1.0,Water,1820
CuO+MWCNT,459,1.0,Water,1711
CuO+MWCNT,308,1.0,Water,741
CuO+MWCNT,309,1.0,Water,1895
CuO+MWCNT,461,1.0,Water,1205
CuO+MWCNT,475,1.0,Water,725
CuO+MWCNT,309,1.0,Water,1872
CuO+MWCNT,316,1.0,Water,1175
CuO+MWCNT,358,1.0,Water,915
CuO+MWCNT,346,1.0,Water,857
CuO+MWCNT,461,1.0,Water,853
CuO+MWCNT,307,1.0,Water,816
CuO+MWCNT,354,1.0,Water,1948
CuO+MWCNT,388,1.0,Water,794
CuO+MWCNT,418,1.0,Water,1722
CuO+MWCNT,444,1.0,Water,1349
CuO+MWCNT,419,1.0,Water,818
CuO+MWCNT,338,1.0,Water,1785
CuO+MWCNT,403,1.0,Water,1120
CuO+MWCNT,491,1.0,Water,1449
CuO+MWCNT,441,1.0,Water,1695
CuO+MWCNT,318,1.0,Water,1241
CuO+MWCNT,406,1.0,Water,1731
CuO+MWCNT,375,1.0,Water,1372
CuO+MWCNT,349,1.0,Water,930
CuO+MWCNT,386,1.0,Water,902
CuO+MWCNT,488,1.0,Water,1131
CuO+MWCNT,301,1.0,Water,1447
CuO+MWCNT,407,1.0,Water,1672
CuO+MWCNT,318,1.0,Water,984
CuO+MWCNT,462,1.0,Water,1305
CuO+MWCNT,305,1.0,Water,1478
CuO+MWCNT,336,1.0,Water,984
CuO+MWCNT,477,1.0,Water,1806
CuO+MWCNT,440,1.0,Water,1007
CuO+MWCNT,466,1.0,Water,1692
CuO+MWCNT,380,1.0,Water,702
CuO+MWCNT,324,1.0,Water,1743
CuO+MWCNT,481,1.0,Water,1993
MgO+MWCNT,467,0.25,Water,1557
MgO+MWCNT,424,0.25,Water,2032
MgO+MWCNT,419,0.25,Water,1050
MgO+MWCNT,320,0.25,Water,1746
MgO+MWCNT,356,0.25,Water,1561
MgO+MWCNT,421,0.25,Water,1586
MgO+MWCNT,418,0.25,Water,1290
MgO+MWCNT,411,0.25,Water,2098
MgO+MWCNT,329,0.25,Water,2093
MgO+MWCNT,478,0.25,Water,1836
MgO+MWCNT,357,0.25,Water,1365
MgO+MWCNT,358,0.25,Water,1489
MgO+MWCNT,433,0.25,Water,1610
MgO+MWCNT,385,0.25,Water,1245
MgO+MWCNT,392,0.25,Water,2081
MgO+MWCNT,368,0.25,Water,1425
MgO+MWCNT,386,0.25,Water,1893
MgO+MWCNT,471,0.25,Water,1519
MgO+MWCNT,470,0.25,Water,1058
MgO+MWCNT,338,0.25,Water,1775
MgO+MWCNT,344,0.25,Water,2160
MgO+MWCNT,452,0.25,Water,2147
MgO+MWCNT,351,0.25,Water,1701
MgO+MWCNT,404,0.25,Water,1723
MgO+MWCNT,357,0.25,Water,2196
MgO+MWCNT,479,0.25,Water,1027
MgO+MWCNT,413,0.25,Water,2009
MgO+MWCNT,312,0.25,Water,1040
MgO+MWCNT,322,0.25,Water,1087
MgO+MWCNT,337,0.25,Water,1885
MgO+MWCNT,322,0.25,Water,1140
MgO+MWCNT,339,0.25,Water,1540
MgO+MWCNT,493,0.25,Water,1424
MgO+MWCNT,446,0.25,Water,1042
MgO+MWCNT,371,0.25,Water,1918
MgO+MWCNT,403,0.25,Water,1656
MgO+MWCNT,478,0.25,Water,1895
MgO+MWCNT,472,0.25,Water,2164
MgO+MWCNT,443,0.25,Water,1901
MgO+MWCNT,316,0.25,Water,1154
MgO+MWCNT,340,0.25,Water,1485
MgO+MWCNT,363,0.25,Water,1627
MgO+MWCNT,388,0.25,Water,1473
MgO+MWCNT,442,0.25,Water,1890
MgO+MWCNT,384,0.25,Water,1586
MgO+MWCNT,446,0.25,Water,1149
MgO+MWCNT,424,0.25,Water,1633
MgO+MWCNT,489,0.25,Water,1257
MgO+MWCNT,483,0.25,Water,1442
MgO+MWCNT,406,0.25,Water,1870
MgO+MWCNT,432,0.5,Water,2159
MgO+MWCNT,496,0.5,Water,1861
MgO+MWCNT,379,0.5,Water,1507
MgO+MWCNT,409,0.5,Water,1016
MgO+MWCNT,328,0.5,Water,1163
MgO+MWCNT,338,0.5,Water,1464
MgO+MWCNT,444,0.5,Water,1298
MgO+MWCNT,498,0.5,Water,1129
MgO+MWCNT,394,0.5,Water,1643
MgO+MWCNT,303,0.5,Water,1356
MgO+MWCNT,471,0.5,Water,1413
MgO+MWCNT,330,0.5,Water,1893
MgO+MWCNT,467,0.5,Water,1140
MgO+MWCNT,326,0.5,Water,1470
MgO+MWCNT,461,0.5,Water,2013
MgO+MWCNT,406,0.5,Water,2199
MgO+MWCNT,306,0.5,Water,1971
MgO+MWCNT,464,0.5,Water,2176
MgO+MWCNT,434,0.5,Water,1202
MgO+MWCNT,358,0.5,Water,1782
MgO+MWCNT,398,0.5,Water,1995
MgO+MWCNT,400,0.5,Water,1357
MgO+MWCNT,368,0.5,Water,1645
MgO+MWCNT,472,0.5,Water,1360
MgO+MWCNT,361,0.5,Water,1584
MgO+MWCNT,444,0.5,Water,2161
MgO+MWCNT,326,0.5,Water,1089
MgO+MWCNT,471,0.5,Water,1113
MgO+MWCNT,421,0.5,Water,1844
MgO+MWCNT,428,0.5,Water,1854
MgO+MWCNT,458,0.5,Water,2064
MgO+MWCNT,436,0.5,Water,1193
MgO+MWCNT,319,0.5,Water,1700
MgO+MWCNT,475,0.5,Water,1399
MgO+MWCNT,414,0.5,Water,1555
MgO+MWCNT,404,0.5,Water,1608
MgO+MWCNT,459,0.5,Water,1778
MgO+MWCNT,393,0.5,Water,1499
MgO+MWCNT,442,0.5,Water,1260
MgO+MWCNT,470,0.5,Water,1261
MgO+MWCNT,344,0.5,Water,1600
MgO+MWCNT,304,0.5,Water,1577
MgO+MWCNT,498,0.5,Water,1017
MgO+MWCNT,342,0.5,Water,1042
MgO+MWCNT,330,0.5,Water,1374
MgO+MWCNT,312,0.5,Water,1930
MgO+MWCNT,348,0.5,Water,1740
MgO+MWCNT,437,0.5,Water,1434
MgO+MWCNT,306,0.5,Water,2003
MgO+MWCNT,370,0.5,Water,1591
MgO+MWCNT,403,0.75,Water,1437
MgO+MWCNT,355,0.75,Water,1629
MgO+MWCNT,383,0.75,Water,1579
MgO+MWCNT,354,0.75,Water,1431
MgO+MWCNT,427,0.75,Water,1146
MgO+MWCNT,349,0.75,Water,2124
MgO+MWCNT,331,0.75,Water,1476
MgO+MWCNT,355,0.75,Water,2192
MgO+MWCNT,401,0.75,Water,1719
MgO+MWCNT,487,0.75,Water,1460
MgO+MWCNT,318,0.75,Water,1086
MgO+MWCNT,349,0.75,Water,1624
MgO+MWCNT,415,0.75,Water,1345
MgO+MWCNT,314,0.75,Water,1058
MgO+MWCNT,388,0.75,Water,1913
MgO+MWCNT,436,0.75,Water,1199
MgO+MWCNT,464,0.75,Water,1398
MgO+MWCNT,422,0.75,Water,1547
MgO+MWCNT,448,0.75,Water,1681
MgO+MWCNT,369,0.75,Water,1484
MgO+MWCNT,386,0.75,Water,1694
MgO+MWCNT,429,0.75,Water,1949
MgO+MWCNT,319,0.75,Water,1354
MgO+MWCNT,360,0.75,Water,1639
MgO+MWCNT,426,0.75,Water,2017
MgO+MWCNT,376,0.75,Water,1393
MgO+MWCNT,406,0.75,Water,2110
MgO+MWCNT,305,0.75,Water,1967
MgO+MWCNT,371,0.75,Water,2095
MgO+MWCNT,385,0.75,Water,1665
MgO+MWCNT,436,0.75,Water,1942
MgO+MWCNT,452,0.75,Water,1087
MgO+MWCNT,492,0.75,Water,1509
MgO+MWCNT,427,0.75,Water,1197
MgO+MWCNT,362,0.75,Water,1015
MgO+MWCNT,375,0.75,Water,1119
MgO+MWCNT,378,0.75,Water,1707
MgO+MWCNT,300,0.75,Water,1929
MgO+MWCNT,447,0.75,Water,1318
MgO+MWCNT,345,0.75,Water,1613
MgO+MWCNT,367,0.75,Water,1900
MgO+MWCNT,496,0.75,Water,1087
MgO+MWCNT,310,0.75,Water,1992
MgO+MWCNT,315,0.75,Water,2130
MgO+MWCNT,477,0.75,Water,1052
MgO+MWCNT,340,0.75,Water,1774
MgO+MWCNT,453,0.75,Water,1429
MgO+MWCNT,341,0.75,Water,1364
MgO+MWCNT,481,0.75,Water,1639
MgO+MWCNT,312,0.75,Water,1212
MgO+MWCNT,473,1.0,Water,1251
MgO+MWCNT,459,1.0,Water,1973
MgO+MWCNT,493,1.0,Water,1900
MgO+MWCNT,313,1.0,Water,1983
MgO+MWCNT,428,1.0,Water,1191
MgO+MWCNT,439,1.0,Water,1749
MgO+MWCNT,357,1.0,Water,1398
MgO+MWCNT,431,1.0,Water,1592
MgO+MWCNT,499,1.0,Water,1275
MgO+MWCNT,434,1.0,Water,2167
MgO+MWCNT,471,1.0,Water,1289
MgO+MWCNT,316,1.0,Water,1506
MgO+MWCNT,413,1.0,Water,1797
MgO+MWCNT,330,1.0,Water,1970
MgO+MWCNT,491,1.0,Water,1958
MgO+MWCNT,463,1.0,Water,1369
MgO+MWCNT,466,1.0,Water,1913
MgO+MWCNT,349,1.0,Water,1739
MgO+MWCNT,376,1.0,Water,1104
MgO+MWCNT,447,1.0,Water,1762
MgO+MWCNT,407,1.0,Water,2041
MgO+MWCNT,390,1.0,Water,2078
MgO+MWCNT,477,1.0,Water,1912
MgO+MWCNT,324,1.0,Water,1508
MgO+MWCNT,363,1.0,Water,1175
MgO+MWCNT,315,1.0,Water,1010
MgO+MWCNT,416,1.0,Water,1739
MgO+MWCNT,422,1.0,Water,2089
MgO+MWCNT,395,1.0,Water,1879
MgO+MWCNT,455,1.0,Water,1982
MgO+MWCNT,431,1.0,Water,1208
MgO+MWCNT,307,1.0,Water,1191
MgO+MWCNT,351,1.0,Water,1770
MgO+MWCNT,451,1.0,Water,1620
MgO+MWCNT,330,1.0,Water,1122
MgO+MWCNT,342,1.0,Water,2171
MgO+MWCNT,360,1.0,Water,1479
MgO+MWCNT,321,1.0,Water,1384
MgO+MWCNT,433,1.0,Water,1192
MgO+MWCNT,401,1.0,Water,1104
MgO+MWCNT,301,1.0,Water,1009
MgO+MWCNT,473,1.0,Water,1929
MgO+MWCNT,488,1.0,Water,1390
MgO+MWCNT,418,1.0,Water,2171
MgO+MWCNT,344,1.0,Water,1622
MgO+MWCNT,341,1.0,Water,1164
MgO+MWCNT,444,1.0,Water,1746
MgO+MWCNT,304,1.0,Water,1081
MgO+MWCNT,479,1.0,Water,1849
MgO+MWCNT,309,1.0,Water,1592
